species,n_presence,n_train_presence,n_background,auc,boyce,threshold,sensitivity,specificity,tss,omission_rate,tss_max,fold
Sequoiadendron giganteum,350,1658,10438,0.7716661648372705,0.9890506697728596,0.517594575881958,0.5228571428571429,0.8141406399693428,0.3369977828264856,0.4771428571428571,0.3994563819012947,1
Quercus pubescens,111,1814,10485,0.7469753014817393,0.9754338963308096,0.556052029132843,0.44144144144144143,0.833381020505484,0.2748224619469255,0.5585585585585586,0.37878565260539504,1
Platanus hispanica,219,1683,10394,0.8237624797586947,0.9737419153853616,0.5191764831542969,0.5981735159817352,0.8324033096016933,0.4305768255834286,0.4018264840182648,0.4693992758379219,1
Melia azedarach,64,1804,10513,0.9240137211072006,0.86875717119559,0.6796625256538391,0.609375,0.9469228574146296,0.5562978574146296,0.390625,0.7485598187957767,1
Prunus amygdalus,183,1658,10416,0.7438377695516776,0.8451899417020222,0.7134916186332703,0.20218579234972678,0.931931643625192,0.13411743597491865,0.7978142076502732,0.4036853768477248,1
Celtis australis,189,1648,10429,0.875718450941387,0.8887478159580664,0.6837555170059204,0.48148148148148145,0.9184965001438297,0.39997798162531106,0.5185185185185186,0.6315199629036047,1
Arbutus unedo,289,1459,10491,0.9644349960206458,0.7650028233164563,0.5214148759841919,0.9584775086505191,0.9217424459060147,0.8802199545565337,0.04152249134948094,0.8896371547996816,1
Olea europaea,192,1576,10491,0.9441133074381216,0.9663336235731816,0.5696102380752563,0.890625,0.9027738061195311,0.793398806119531,0.109375,0.7938754051091412,1
Acer monspessulanum,303,1499,10354,0.7110438975131819,0.9320675596971462,0.5480753183364868,0.29042904290429045,0.8741549159745026,0.16458395887879296,0.7095709570957096,0.3314511188418436,1
Ulmus laevis,343,1393,10345,0.7922930050291193,0.9743972044263249,0.545167863368988,0.6209912536443148,0.7674238762687289,0.3884151299130436,0.37900874635568516,0.4808102955329753,1
Fraxinus ornus,563,1134,10358,0.8979815671774625,0.9765055329062318,0.47684404253959656,0.9040852575488455,0.7159683336551458,0.6200535912039913,0.0959147424511545,0.6710535476478482,1
Alnus incana,561,1076,10198,0.7998300320324246,0.9853813942007205,0.4624934494495392,0.9126559714795008,0.4750931555206903,0.38774912700019115,0.08734402852049916,0.46686149008980476,1
